Region,Nation(s),Political Science and International Relations,Sociology and Political Science,Development,"Economics, Econometrics and Finance","Business, Management and Accounting",Environmental Science,Transportation,Social Sciences (Misc.),Communication,Agricultural and Biological Sciences,Arts and Humanities,Computer Science,Decision Sciences,Demography,Earth and Planetary Sciences,Education,Energy,Engineering,Law,Mathematics,Medicine,Multidisciplinary,Safety Research,Urban Studies,Cultural Studies
Africa,Zimbabwe / Cameroon / Djibouti,,,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Djibouti,1,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Kenya / Djibouti / Ethiopia,,1,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Kenya / Djibouti / Ethiopia,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Africa,Tanzania / Ethiopia / Kenya,,1,,,,,,,,,,,,,,,,,,,,,,,
Africa,Tanzania / Malawi,,,,,,,,,,,,,,,,,,,,,1,,,,
Africa,Ethiopia,,,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Ghana / Zambia,1,,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Algeria / Ghana,1,1,,,,,,,,,,,,,,,,,,,,,,,
Africa,Kenya,1,,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Ghana,,1,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Kenya,,1,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Egypt,1,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Ethopia / Djibouti,,1,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Djibouti,1,,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Ghana,,,,,,,,,,,,,,,,,1,,,,,,,,
Africa,Botswana / Ghana / Kenya / Madagascar / Namibia / Tanzania / South Africa / Zimbabwe,1,,1,,,,,,,,,,,,,,,,,,,,,,
Africa,Kenya,,,1,1,,,,,,,,,,,,,,,,,,,,,
Africa,Seychelles,,1,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Lebanon,,,,,1,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Pakistan / Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,"Kazakhstan / Kyrgyzstan, Tajikistan, Uzbekistan, Turkmenistan",,,1,,1,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Iran,1,,,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Iran,1,,,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Israel,1,,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Russia / Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Bahrain / Kuwait / Oman / Qatar / Saudi Arabia / United Arab Emirates,1,,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Iran,,,1,1,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Tajikistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan,,1,,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Russia / Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Pakistan / Tajikistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan,,1,,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Pakistan / Afghanistan / Uzbekistan / Tajikistan / Kyrgyzstan,1,,1,,,,,,,,,,,,,,,,,,,,,,
